key,ability,ability_name,description,tooltip,maxrank,cooldown,cost,maxammo,range
266,Q,The Darkin Blade,"Aatrox slams his greatsword down, dealing physical damage. He can swing three times, each with a different area of effect.","Aatrox slams his greatsword, dealing <physicalDamage>{{ qdamage }} physical damage</physicalDamage>. If they are hit on the edge, they are briefly <status>Knocked Up</status> and they take <physicalDamage>{{ qedgedamage }}</physicalDamage> instead. This Ability can be <recast>Recast</recast> twice, each one changing shape and dealing 25% more damage than the previous one.",5,14_12_10_8_6,0_0_0_0_0,-1,25000
266,W,Infernal Chains,"Aatrox smashes the ground, dealing damage to the first enemy hit. Champions and large monsters have to leave the impact area quickly or they will be dragged to the center and take the damage again.","Aatrox fires a chain, <status>Slowing</status> the first enemy hit by {{ wslowpercentage*-100 }}% for {{ wslowduration }} seconds and dealing <physicalDamage>{{ wdamage }} physical damage</physicalDamage>. Champions and large jungle monsters have {{ wslowduration }} seconds to leave the impact area or be <status>Pulled</status> back to the center and damaged again for the same amount.",5,20_18.5_17_15.5_14,0_0_0_0_0,-1,825
266,E,Umbral Dash,"Passively, Aatrox heals when damaging enemy champions. On activation, he dashes in a direction.","<spellPassive>Passive:</spellPassive> Aatrox gains <lifeSteal>{{ espellvamp }}% Omnivamp</lifeSteal> against champions, increased to <lifeSteal>{{ espellvampempowered }}% Omnivamp</lifeSteal> during <keywordMajor>World Ender</keywordMajor>.<br /><br /><spellActive>Active:</spellActive> Aatrox dashes. He can use this Ability while winding up his other Abilities.",5,9_8_7_6_5,0_0_0_0_0,1,25000
266,R,World Ender,"Aatrox unleashes his demonic form, fearing nearby enemy minions and gaining attack damage, increased healing, and movement speed. If he gets a takedown, this effect is extended.","Aatrox reveals his true demonic form, <status>Fearing</status> nearby minions for {{ rminionfearduration }} seconds and gaining <speed>{{ rmovementspeedbonus*100 }}% Move Speed</speed> decaying over {{ rduration }} seconds. He also gains <scaleAD>{{ rtotaladamp*100 }}% Attack Damage</scaleAD> and increases <healing>self-healing by {{ rhealingamp*100 }}%</healing> for the duration.<br /><br />Champion takedowns extend the duration of this effect by {{ rextension }} seconds and refresh the <speed>Move Speed</speed> effect.",3,120_100_80,0_0_0,-1,25000
103,Q,Orb of Deception,"Ahri sends out and pulls back her orb, dealing magic damage on the way out and true damage on the way back. ","Ahri throws then pulls back her orb, dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage> on the way out and <trueDamage>{{ totaldamage }} true damage</trueDamage> on the way back.",5,7_7_7_7_7,65_70_75_80_85,-1,970
103,W,Fox-Fire,"Ahri gains a brief burst of movement speed and releases three fox-fires, that lock onto and attack nearby enemies.","Ahri releases 3 fox-fires that seek nearby enemies and deal <magicDamage>{{ singlefiredamage }} magic damage</magicDamage>, reduced to <magicDamage>{{ multifiredamage }} damage</magicDamage> beyond the first. She also gains <speed>{{ movementspeed*100 }}% Move Speed</speed> decaying over {{ movementspeedduration }} seconds.",5,9_8_7_6_5,40_40_40_40_40,-1,700
103,E,Charm,"Ahri blows a kiss that damages and charms an enemy it encounters, instantly stopping movement abilities and causing them to walk harmlessly towards her. The target temporarily takes increased damage from Ahri.",Ahri blows a kiss that <status>Charms</status> the first enemy hit for {{ e2 }} second(s) and deals <magicDamage>{{ totaldamage }} magic damage</magicDamage>. The victim also takes {{ e4 }}% more damage from Ahri's Abilities for {{ e5 }} seconds.,5,12_12_12_12_12,70_70_70_70_70,-1,975
103,R,Spirit Rush,"Ahri dashes forward and fires essence bolts, damaging nearby enemies. Spirit Rush can be cast up to three times before going on cooldown.","Ahri nimbly dashes, firing {{ rmaxtargetspercast }} essence bolts at nearby enemies, prioritizing champions. These bolts deal <magicDamage>{{ rcalculateddamage }} magic damage</magicDamage> each. This Ability can be <recast>Recast</recast> up to twice within {{ rrecastwindow }} seconds before going on cooldown.",3,130_105_80,100_100_100,-1,450
84,Q,Five Point Strike,"Akali throws out five kunai, dealing damage based on her bonus Attack Damage and Ability Power and slowing.","Akali slings kunai in an arc, dealing <magicDamage>{{ damage }} magic damage</magicDamage> and <status>Slowing</status> enemies at the tip by {{ slowpercentage*100 }}% for {{ slowduration }} seconds.",5,1.5_1.5_1.5_1.5_1.5,130_115_100_85_70,-1,550
84,W,Twilight Shroud,"Akali drops a cover of smoke and briefly gains Movement Speed. While inside the shroud, Akali becomes invisible and unable to be selected by enemy spells and attacks. Attacking or using abilities will briefly reveal her.  ","Akali drops a smoke bomb, unleashing a spreading cover of smoke lasting {{ baseduration }} seconds and granting herself <speed>{{ e6 }}% Move Speed</speed> decaying over {{ movementspeedduration }} seconds.<br /><br />Akali increases her energy by {{ energyrestore }} while the shroud is active. <br /><br />While inside the smoke, Akali is <keywordStealth>Invisible</keywordStealth>.",5,20_20_20_20_20,0_0_0_0_0,-1,350
