summoner_name,rank,lp,season_points,wins,losses
EG jojopyun,1,755,0,110,70
C9 Zven,2,670,0,93,52
GG Olleh,3,660,0,95,59
EG Srtty,4,640,0,96,64
FLY Kumo,5,630,0,109,94
EG Kaori,6,625,0,100,75
EST Mia,7,590,0,88,58
BOG RJS,8,575,0,113,111
DIG River,9,525,0,68,32
TL Armao,10,520,0,83,62
EG Tomio,10,520,0,91,78
CLG Dhokla,12,515,0,77,51
GG Tony Top,13,505,0,90,79
TL Yeon,14,485,0,70,43
SN Ariendel,15,470,0,79,64
ISG ADD,16,440,0,58,28
100 Kenvi,16,440,0,65,42
TL Hans sama,18,425,0,62,39
Lourlo,18,425,0,88,91
FLY Tomo,20,420,0,64,44
GG Lost,21,410,0,58,34
CLG Breezy,22,400,0,74,68
FLY Josedeodo,23,395,0,70,61
GG Ablazeolive,24,390,0,60,42
TSM Takeover,24,390,0,75,75
FLY Johnsun,26,375,0,54,33
AZE Dimitry,27,370,0,59,46
Smoothie,28,360,0,70,68
GG Pridestalkr,29,355,0,70,69
TL Eyla,30,350,0,52,34
ISG Jelly,31,335,0,48,29
IMT Arrow,32,330,0,55,44
100 Busio,33,325,0,56,50
TL CoreJJ,34,320,0,51,38
FLY Diamond,34,320,0,66,68
C9 Malice,36,310,0,48,34
100 Tenacity,37,305,0,50,42
FLY Philip,37,305,0,61,63
Stunt,37,305,0,55,51
R7 Cepted,40,300,0,51,42
100 Abbedagge,41,295,0,46,33
GG Licorice,42,290,0,44,30
100X Sword,42,290,0,56,58
IMA Winston,42,290,0,71,85
XTN Keine,45,285,0,48,41
IMT Destiny,45,285,0,51,46
C9 Darshan,45,285,0,56,58
MU Niles,48,260,0,48,45
Gweiss,48,260,0,46,41
DIG Neo,48,260,0,34,16
NOT Yukino,48,260,0,46,40
CLG Jenkins,52,255,0,39,29
UCI duong pro,53,250,0,46,46
R7 SoHwan,54,235,0,50,55
TL Santorin,54,235,0,39,34
AK Luci,56,230,0,50,56
EG Vulcan,56,230,0,34,23
100 JimieN,56,230,0,40,35
EG Impact,59,225,0,41,37
100 Closer,59,225,0,35,25
TL Bjergsen,61,220,0,36,29
EST Leza,61,220,0,38,32
IMT PowerOfEvil,61,220,0,32,21
TSM Shenyi,64,210,0,42,42
CLG Palafox,64,210,0,48,58
AK CaD,66,205,0,29,20
FLY Spirax,67,200,0,36,32
100X Insanity,68,195,0,40,43
EST Bvoy,68,195,0,57,77
FLY toucouille,68,195,0,40,42
CLG Luger,68,195,0,41,44
C9 Isles,72,190,0,31,26
Svenskeren,72,190,0,30,22
EGP Sketch,74,185,0,35,39
IMT Concept,74,185,0,41,46
TL Bwipo,74,185,0,33,29
AZE Lonely,77,180,0,24,12
C9 Blaber,77,180,0,23,10
TL Haeri,79,175,0,36,43
C9 Summit,79,175,0,28,23
TSM Instinct,81,170,0,50,66
TSM V1per,81,170,0,30,26
IMT Revenge,81,170,0,37,41
EG Inspired,81,170,0,29,24
GG ry0ma,81,170,0,28,22
IMT Xerxe,81,170,0,27,20
100 huhi,87,165,0,39,47
IMT Pretty,87,165,0,39,45
AK Hoglet,89,160,0,26,22
R7 Oddie,90,155,0,25,20
C9 Berserker,90,155,0,24,18
GG Stixxay,92,150,0,22,19
EST Grell,93,145,0,34,39
Jensen,93,145,0,30,35
EST Lyg,95,140,0,40,56
DIG JayJ,96,135,0,21,15
FLY aphromoo,97,130,0,29,33
IMT Dardoch,98,125,0,20,15
C9 Copy,98,125,0,15,5
100 FBI,98,125,0,26,28
WC Strompest,101,120,0,31,42
TSM Tactical,101,120,0,20,16
IMT WildTurtle,103,115,0,22,21
TL Bradley,103,115,0,37,51
GET Fix,103,115,0,36,51
NOT 5fire,106,110,0,17,12
100X Array,107,105,0,31,42
100 Wixxi,107,105,0,21,23
IMT Joey,107,105,0,29,37
CLG RoseThorn,107,105,0,17,13
WC Minui,111,100,0,16,14
Keith,112,95,0,25,34
NOT Gryffinn,113,90,0,24,36
INF cody,114,85,0,21,26
GG Chime,114,85,0,16,15
CLG Prismal,114,85,0,20,23
3P Messages,114,85,0,12,9
IMT Chad,118,80,0,17,18
R7 Warangelus,118,80,0,35,54
TSM Hyper,118,80,0,11,7
CLG Contractz,118,80,0,10,4
FLY Yuuji,118,80,0,28,40
UCI Kim Down,123,75,0,11,8
TA Nightstar,123,75,0,23,35
TA Chookies,123,75,0,12,10
100 Ssumday,123,75,0,23,33
TG Trixter,127,70,0,10,7
RAD Raheen,127,70,0,11,8
INF Ackerman,127,70,0,15,18
GET Bardito,127,70,0,16,20
C9 Qit0ng,131,65,0,19,28
WC Crazy Goose,131,65,0,28,43
XTN Horus,131,65,0,8,3
TA Dec0y,134,60,0,20,33
EG Soligo,134,60,0,25,40
XTN camilo,134,60,0,12,12
DARE Enigma,134,60,0,9,7
R7 Slow,134,60,0,18,25
AK Pancake,139,55,0,16,25
Pobelter,139,55,0,29,50
CLG Poome,139,55,0,23,35
C9 k1ng,139,55,0,10,10
TSM Spica,139,55,0,8,5
DIG Spawn,139,55,0,9,12
EG Danny,139,55,0,9,7
Solo,139,55,0,8,5
SN Saico,147,50,0,14,20
AZE 5kid,147,50,0,11,12
XTN Archer,147,50,0,24,42
BOG Inori,147,50,0,7,10
BOG B3nji,147,50,0,9,8
WIN Kenji,152,45,0,16,25
WC Jeremy,152,45,0,17,27
EST Acce,152,45,0,38,72
UCI Cinna,152,45,0,8,7
NOT Scoooped,152,45,0,6,3
DIG FakeGod,152,45,0,10,11
WIN FrostForest,152,45,0,7,6
DIG eXyu,152,45,0,12,16
DNHA Svmmy,160,40,0,46,90
RAD Lightpulse,160,40,0,11,17
BAY Seranok,160,40,0,19,35
DIG Blue,160,40,0,7,6
INF Kz,160,40,0,15,24
DIG DARKWINGS,160,40,0,11,18
100 Gamsu,160,40,0,8,12
TSM Yursan,160,40,0,10,16
TSM Huni,160,40,0,5,3
DNHA Dinka,160,40,0,4,0
Doublelift,160,40,0,14,21
GTC Vakin,160,40,0,8,9
GTC duoking,172,35,0,5,3
UCI Misterdot,172,35,0,5,7
MU Shady,172,35,0,7,8
100X Sniper,172,35,0,5,4
R7 Daiky,172,35,0,9,18
WC Toasty,172,35,0,4,2
WC 0 n a t,172,35,0,4,3
MU APA,172,35,0,7,10
100X donbray,180,30,0,6,6
IMA shochi,180,30,0,6,6
TL Rhino,180,30,0,4,2
GG Violet,180,30,0,4,3
TSM Keaiduo,180,30,0,3,2
AK Skeeto,180,30,0,12,21
NOT Dragoon,186,25,0,4,3
WC Griffin,186,25,0,17,33
DARE BMFX,186,25,0,3,1
UCI dtro18,186,25,0,13,22
SN im baekho,186,25,0,8,11
IMA Trevor,186,25,0,8,14
GG Akaadian,186,25,0,5,6
3P Zamudo,186,25,0,5,13
EGP Perry,194,20,0,5,9
MUS Getback,194,20,0,4,6
BAY Bejjaniii,194,20,0,5,6
DARE Censored,194,20,0,3,6
UCI sahori,194,20,0,3,5
BAY Dragonmin,194,20,0,5,9
EG SkyTec,194,20,0,15,34
IMA animegirl,194,20,0,3,5
INF Jauny,194,20,0,6,9
Qit0ng,194,20,0,2,0
EGP Faisal,194,20,0,3,2
TG Qwacker,194,20,0,2,2
NOT Jishuka,206,15,0,6,9
IMA Meech,206,15,0,2,7
UCI Berik,206,15,0,2,1
SN Firetheft,206,15,0,2,3
Goldenglue,206,15,0,5,8
DIG Eclipse,206,15,0,3,4
ISG seiya,206,15,0,3,5
CLG Triple,206,15,0,4,6
R7 Ceo,206,15,0,3,3
ISG FIare,206,15,0,2,3
Sneaky,206,15,0,2,2
NR Pynt,206,15,0,2,3
XTN Zerito,218,10,0,8,28
TG Doxa,218,10,0,1,0
AK Zothve,218,10,0,27,60
ISG Gavotto,218,10,0,2,2
RAD Bluster,218,10,0,1,1
GET Plugo,218,10,0,2,3
AZE Aloned,218,10,0,11,20
C9 Fudge,218,10,0,1,0
ISU DrewDozer,218,10,0,1,2
100X Keel,218,10,0,22,43
CIyde,218,10,0,7,22
3P Munchy,218,10,0,2,3
WC Rhino,218,10,0,1,0
BOG Tuesday,218,10,0,1,3
WC O n a t,218,10,0,2,5
BOG dshao,218,10,0,2,2
YU Wally,218,10,0,1,1
AnDa,218,10,0,1,0
DARE Blossoms,236,5,0,4,10
WIN Avano,236,5,0,3,7
RAD Crimson,236,5,0,1,1
XTN Tyr,236,5,0,3,8
3P Lunar2,236,5,0,1,1
GET Warangelus,236,5,0,2,9
BAY Braine,242,0,0,2,5
MUS Kind,242,0,0,3,6
TA Nemesis9,242,0,0,2,10
MU Azog,242,0,0,9,22
MU Odd Orange,242,0,0,2,12
DARE Snow2,242,0,0,0,4
TG Cozy,242,0,0,0,1
NOT Blazze,242,0,0,1,3
WIN Saint GRIMM,242,0,0,0,9
DARE Leemo,242,0,0,3,9
WIN Mordio,242,0,0,5,14
SN Pseudo,242,0,0,0,5
BAY SophistSage,242,0,0,1,2
WIN Vex,242,0,0,8,17
EGP Daption,242,0,0,1,6
AZE Straight,242,0,0,4,8
Mash,242,0,0,0,2
100X Mist,242,0,0,0,1
EGP LEO99,242,0,0,1,4
GET Fs,242,0,0,1,9
DIG Biofrost,242,0,0,2,6
TG Links,242,0,0,0,2
C9 Winsome,242,0,0,0,3
INF Brayaron,242,0,0,4,12
INF SolidSnake,242,0,0,1,11
GG Iconic,242,0,0,0,2
ISG Follow,242,0,0,3,7
MU Aizo,242,0,0,1,4
ISU Tempos,242,0,0,2,5
WC Rapid,242,0,0,1,8
Min,242,0,0,0,1
3P MikeYeung,242,0,0,0,3
ISU Yen,242,0,0,2,6
GTC SiddyWiddy,242,0,0,0,2
