player_name,rank,lp,season_points,wins,losses
EG jojopyun,1,610,0,92,63
BOG RJS,2,555,0,99,87
EG Srtty,3,545,0,80,51
FLY Kumo,4,530,0,91,78
EST Mia,4,530,0,75,44
C9 Zven,6,525,0,74,43
GG Olleh,7,500,0,73,47
EG Kaori,7,500,0,82,64
DIG River,9,460,0,59,27
GG Tony Top,10,445,0,77,65
CLG Dhokla,10,445,0,64,39
TL Yeon,10,445,0,63,37
100 Kenvi,13,440,0,65,42
Lourlo,14,410,0,78,74
TL Armao,14,410,0,68,54
SN Ariendel,16,400,0,66,52
EG Tomio,16,400,0,75,70
GG Ablazeolive,18,390,0,57,36
TL Hans sama,19,380,0,55,34
FLY Josedeodo,20,370,0,60,46
AZE Dimitry,21,365,0,57,43
FLY Johnsun,22,360,0,50,28
ISG ADD,23,355,0,48,25
CLG Breezy,24,345,0,61,53
GG Lost,25,340,0,47,26
TSM Takeover,26,335,0,64,64
TL Eyla,27,325,0,45,25
C9 Malice,28,310,0,48,34
Smoothie,28,310,0,62,62
GG Pridestalkr,30,300,0,57,54
TL CoreJJ,31,285,0,44,31
100 Busio,32,280,0,49,45
XTN Keine,33,275,0,42,31
FLY Tomo,33,275,0,47,39
Stunt,33,275,0,47,41
R7 Cepted,33,275,0,44,33
IMT Arrow,37,270,0,45,36
Gweiss,38,265,0,41,30
100 Tenacity,38,265,0,44,38
FLY Diamond,38,265,0,55,57
MU Niles,41,260,0,43,35
IMT Destiny,41,260,0,44,37
DIG Neo,43,255,0,33,15
ISG Jelly,44,250,0,37,24
UCI duong pro,44,250,0,46,46
AK Luci,46,245,0,49,51
IMA Winston,46,245,0,61,74
100X Sword,48,240,0,50,56
100 JimieN,49,225,0,37,30
100 Abbedagge,49,225,0,37,29
TL Santorin,51,215,0,34,28
CLG Jenkins,51,215,0,34,27
GG Licorice,53,210,0,35,28
FLY Philip,53,210,0,47,54
TL Bjergsen,55,200,0,32,25
CLG Palafox,55,200,0,40,44
100X Insanity,57,195,0,40,43
EG Vulcan,57,195,0,29,20
C9 Darshan,57,195,0,45,54
FLY toucouille,60,190,0,37,37
TSM V1per,60,190,0,29,20
IMT Concept,60,190,0,38,39
Svenskeren,60,190,0,30,22
AZE Lonely,64,185,0,23,9
EG Impact,64,185,0,37,37
EST Bvoy,66,180,0,50,66
FLY Spirax,66,180,0,31,26
TSM Instinct,68,170,0,49,64
R7 SoHwan,69,165,0,42,53
TSM Shenyi,69,165,0,33,33
IMT Revenge,69,165,0,32,32
R7 Oddie,72,160,0,25,19
AK Hoglet,72,160,0,26,22
C9 Isles,74,155,0,26,23
C9 Summit,74,155,0,24,19
TL Haeri,76,150,0,30,36
CLG Luger,76,150,0,36,43
GG ry0ma,76,150,0,24,18
100 Closer,76,150,0,27,24
EST Leza,76,150,0,29,28
