date,summoner_name,rank,lp,season_points,wins,losses
23/07/10,EG jojopyun,1,885,50,126,76
23/07/10,GG Olleh,2,800,40,114,69
23/07/10,EG Kaori,3,780,30,119,82
23/07/10,EG Srtty,4,740,30,109,70
23/07/10,C9 Zven,5,725,30,105,65
23/07/10,BOG RJS,6,650,20,130,130
23/07/10,TSM Mia,7,635,20,100,73
23/07/10,TL Armao,8,630,20,98,70
23/07/10,FLY Kumo,9,625,20,115,107
23/07/10,CLG Dhokla,10,605,20,91,61
23/07/10,EG Tomio,11,590,10,105,92
23/07/10,DIG River,12,565,10,73,34
23/07/10,GG Tony Top,13,535,10,99,91
23/07/10,TL Yeon,14,490,10,72,46
23/07/10,ISG ADD,15,480,10,62,28
23/07/10,FLY Tomo,16,475,10,72,49
23/07/10,SN Ariendel,17,455,10,82,73
23/07/10,IMT Lost,18,450,10,63,36
23/07/10,IMT Kenvi,19,440,10,65,42
23/07/10,FLY Josedeodo,20,440,10,78,68
23/07/10,TL Hans sama,21,435,10,64,41
23/07/10,CLG Breezy,22,435,10,80,73
23/07/10,Lourlo,23,415,10,93,103
23/07/10,TSM Takeover,24,405,10,79,80
23/07/10,IMT Arrow,25,395,10,63,47
23/07/10,AZE Dimitry,26,390,5,62,48
23/07/10,EG Smoothie,27,390,5,74,70
23/07/10,TL CoreJJ,28,385,5,59,41
23/07/10,FLY Johnsun,29,380,5,55,34
23/07/10,GG Ablazeolive,30,380,5,66,56
23/07/10,100 Busio,31,375,5,62,52
23/07/10,TL Eyla,32,355,5,55,39
23/07/10,EGP Yukino,33,355,5,61,51
23/07/10,FLY Diamond,34,340,5,72,76
23/07/10,100 Abbedagge,35,335,5,50,33
23/07/10,ISG Jelly,36,335,5,51,35
23/07/10,C9 Destiny,37,335,5,58,50
23/07/10,GG Licorice,38,330,5,49,32
23/07/10,100 Tenacity,39,330,5,55,47
23/07/10,C9 Darshan,40,320,5,63,65
23/07/10,C9 Malice,41,310,5,48,34
23/07/10,R7 Cepted,42,305,5,51,41
23/07/10,MU Niles,43,305,5,55,50
23/07/10,FLY Philip,44,305,5,63,67
23/07/10,TL Santorin,45,300,5,46,35
23/07/10,GG Pridestalkr,46,295,5,74,89
23/07/10,Stunt,47,290,5,56,56
23/07/10,100X Sword,48,290,5,57,61
23/07/10,IMA Winston,49,280,5,71,88
23/07/10,XTN Keine,50,270,5,48,44
23/07/10,DIG Neo,51,260,0,34,16
23/07/10,Gweiss,52,260,0,47,43
23/07/10,C9 Summit,53,255,0,36,23
23/07/10,CLG Jenkins,54,255,0,39,29
23/07/10,EG Impact,55,255,0,46,41
23/07/10,IMT PowerOfEvil,56,250,0,35,21
23/07/10,UCI duong pro,57,250,0,46,46
23/07/10,TSM Shenyi,58,245,0,47,45
23/07/10,TL Bjergsen,59,240,0,38,29
23/07/10,EST Bvoy,60,240,0,64,82
23/07/10,AK Leza,61,235,0,40,33
23/07/10,CLG Luger,62,235,0,49,52
23/07/10,R7 SoHwan,63,235,0,50,55
23/07/10,100 Closer,64,230,0,36,26
23/07/10,TL Bwipo,65,230,0,40,34
23/07/10,CLG Palafox,66,230,0,51,60
23/07/10,100 JimieN,67,225,0,40,36
23/07/10,AK Luci,68,220,0,50,58
23/07/10,EG Vulcan,69,215,0,33,24
23/07/10,FLY toucouille,70,210,0,45,49
23/07/10,FEAR Sketch,71,205,0,40,45
23/07/10,AZE Lonely,72,200,0,26,12
23/07/10,AK CaD,73,195,0,31,26
23/07/10,FLY Spirax,74,195,0,36,33
23/07/10,DIG Insanity,75,195,0,40,43
23/07/10,Svenskeren,76,190,0,30,22
23/07/10,JK ry0ma,77,190,0,31,24
23/07/10,C9 Isles,78,190,0,31,26
23/07/10,IMT Pretty,79,190,0,43,48
23/07/10,C9 Blaber,80,185,0,25,13
23/07/10,IMT Revenge,81,185,0,40,44
23/07/10,TSM V1per,82,180,0,32,28
23/07/10,GG Concept,83,180,0,42,49
23/07/10,100 huhi,84,180,0,42,50
23/07/10,TSM Instinct,85,175,0,50,65
23/07/10,IMT Xerxe,86,170,0,27,20
23/07/10,C9 Berserker,87,165,0,27,22
23/07/10,AK Hoglet,88,160,0,26,22
23/07/10,EG Inspired,89,160,0,29,26
23/07/10,C9 Jensen,90,160,0,32,36
23/07/10,R7 Oddie,91,155,0,25,20
23/07/10,TL Haeri,92,155,0,37,49
23/07/10,ISG Grell,93,150,0,36,42
23/07/10,CLG RoseThorn,94,145,0,22,15
23/07/10,GG Stixxay,95,140,0,21,19
23/07/10,FLY aphromoo,96,140,0,31,35
23/07/10,EST Lyg,97,140,0,45,66
23/07/10,DIG JayJ,98,135,0,21,15
23/07/10,100 FBI,99,135,0,27,28
23/07/10,WC Strompest,100,135,0,37,52
23/07/10,INF cody,101,130,0,27,29
23/07/10,IMT Joey,102,130,0,33,40
23/07/10,C9 Copy,103,125,0,15,5
23/07/10,IMT Dardoch,104,125,0,20,15
23/07/10,TSM Tactical,105,120,0,20,16
23/07/10,TL Bradley,106,120,0,37,51
23/07/10,IMT WildTurtle,107,115,0,22,21
23/07/10,CLG Contractz,108,110,0,13,4
23/07/10,NOT 5fire,109,110,0,17,12
23/07/10,C9 Wixxi,110,110,0,21,22
23/07/10,GG Array,111,105,0,31,42
23/07/10,Keith,112,105,0,30,42
23/07/10,300 Minui,113,100,0,16,14
23/07/10,3P Messages,114,95,0,14,11
23/07/10,XTN Bardito,115,95,0,20,23
23/07/10,GET Fix,116,95,0,38,59
23/07/10,IMT Chad,117,90,0,18,18
23/07/10,INF Ackerman,118,90,0,18,20
23/07/10,GG Chime,119,85,0,16,15
23/07/10,TA Nightstar,120,85,0,24,35
23/07/10,NOT Gryffinn,121,85,0,24,37
23/07/10,TSM Hyper,122,80,0,11,7
23/07/10,CLG Prismal,123,80,0,21,26
23/07/10,FLY Yuuji,124,80,0,28,40
23/07/10,XTN Archer,125,80,0,29,46
23/07/10,UCI Kim Down,126,75,0,11,8
23/07/10,100 Ssumday,127,75,0,23,33
23/07/10,FEAR Trixter,128,70,0,10,7
23/07/10,300 Raheen,129,70,0,11,8
23/07/10,TA Chookies,130,70,0,12,11
