simple_name,full_name,title,lore,blurb,key_id,ally_tips,enemy_tips,resource,tags,attack_rating,defense_rating,difficulty_rating,magic_rating,passive_name,passive_description,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed
aatrox,Aatrox,the Darkin Blade,"Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find freedom once more, corrupting and transforming those foolish enough to try and wield the magical weapon that contained his essence. Now, with stolen flesh, he walks Runeterra in a brutal approximation of his previous form, seeking an apocalyptic and long overdue vengeance.","Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...",266,Use Umbral Dash while casting The Darkin Blade to increase your chances of hitting the enemy._Crowd Control abilities like Infernal Chains or your allies' immobilizing effects will help you set up The Darkin Blade._Cast World Ender when you are sure you can force a fight.,"Aatrox's attacks are very telegraphed, so use the time to dodge the hit zones._Aatrox's Infernal Chains are easier to exit when running towards the sides or at Aatrox._Keep your distance when Aatrox uses his Ultimate to prevent him from reviving.",Blood Well,Fighter_Tank,8,4,4,3,Deathbringer Stance,"Periodically, Aatrox's next basic attack deals bonus <physicalDamage>physical damage</physicalDamage> and heals him, based on the target's max health. ",580.0,90,0.0,0.0,345,38,3.25,32.0,1.25,175,3.0,1.0,0.0,0.0,0,0,60.0,5.0,2.5,0.651
ahri,Ahri,the Nine-Tailed Fox,"Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature, Ahri retains a sense of empathy as she receives flashes of memory from each soul she consumes.","Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature...",103,"Use Charm to set up your combos, it will make landing Orb of Deception and Fox-Fire dramatically easier._Initiate team fights using Charm, and chase down stragglers with Spirit Rush._Spirit Rush enables Ahri's abilities, it opens up paths for Charm, helps double hitting with Orb of Deception, and closes to make use of Fox-Fire.","Ahri's survivability is dramatically reduced when her Ultimate, Spirit Rush, is down._Stay behind minions to make Charm difficult to land, this will reduce Ahri's damage potential significantly.",Mana,Mage_Assassin,3,4,5,8,Essence Theft,"When Ahri strikes 9 enemies with her abilities, her next ability also heals her for each enemy hit.",526.0,92,418.0,25.0,330,21,3.5,30.0,0.5,550,5.5,0.6,8.0,0.8,0,0,53.0,3.0,2.0,0.668
akali,Akali,the Rogue Assassin,"Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one kill at a time. Akali may strike in silence, but her message will be heard loud and clear: fear the assassin with no master.","Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...",84,Akali excels at killing fragile champions. Let your team initiate and then strike at the people in the back._Twilight Shroud offers safety in even the most dangerous situations. Use that time to save up energy for a quick strike later.,Akali can still be hit by area effect spells while obscured inside Twilight Shroud. Doing so will briefly reveal her position._Akali's Five Point Strike is powerful when used at maximum range and energy. Engage on her when she has low energy to maximize your chance of winning trades._Return to base if your Health is low and Akali has her ultimate available.,Energy,Assassin,5,3,7,8,Assassin's Mark,Dealing spell damage to a champion creates a ring of energy around them. Exiting that ring empowers Akali's next autoattack with bonus range and damage.,500.0,105,200.0,0.0,345,23,3.5,37.0,1.25,125,9.0,0.9,50.0,0.0,0,0,62.0,3.3,3.2,0.625
akshan,Akshan,the Rogue Sentinel,"Raising an eyebrow in the face of danger, Akshan fights evil with dashing charisma, righteous vengeance, and a conspicuous lack of shirts. He is highly skilled in the art of stealth combat, able to evade the eyes of his enemies and reappear when they least expect him. With a keen sense of justice and a legendary death-reversing weapon, he rights the wrongs of Runeterra's many scoundrels while living by his own moral code: “Don't be an ass.”","Raising an eyebrow in the face of danger, Akshan fights evil with dashing charisma, righteous vengeance, and a conspicuous lack of shirts. He is highly skilled in the art of stealth combat, able to evade the eyes of his enemies and reappear when they...",166,"Raising an eyebrow in the face of danger, Akshan fights evil with dashing charisma, righteous vengeance, and a conspicuous lack of shirts. He is highly skilled in the art of stealth combat, able to evade the eyes of his enemies and reappear when they least expect him. With a keen sense of justice and a legendary death-reversing weapon, he rights the wrongs of Runeterra's many scoundrels while living by his own moral code: “Don't be an ass.”",,Mana,Marksman_Assassin,0,0,0,0,Dirty Fighting,"Every three hits from Akshan's Attacks and Abilities deals bonus damage and grants him a Shield if the target was a champion.<br><br>When Akshan Attacks, he fires an additional Attack for reduced damage. If he cancels the additional Attack, he instead gains Move Speed.",560.0,90,350.0,40.0,330,26,3.0,30.0,0.5,500,3.75,0.65,8.175,0.7,0,0,52.0,3.5,4.0,0.638
alistar,Alistar,the Minotaur,"Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly becoming a beast. Now, free of the chains of his former masters, he fights in the name of the downtrodden and the disadvantaged, his rage as much a weapon as his horns, hooves and fists.","Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly...",12,Using Pulverize can allow you to establish better positioning for Headbutt._Movement speed is very important on Alistar. Consider which boots to buy carefully._Using Flash can allow you catch your target off guard to knock them back into your allies with Pulverize and Headbutt.,"Alistar is very disruptive but very tough - try to target more fragile damage dealers._Watch out for the Pulverize-Headbutt combo when around turrets._When Alistar uses his ultimate, it's often better to move back and wait until the effect wears off before attacking him.",Mana,Tank_Support,6,9,7,5,Triumphant Roar,Alistar charges his roar by stunning or displacing enemy champions or when nearby enemies die. When fully charged he heals himself all nearby allied champions.,600.0,106,350.0,40.0,330,44,3.5,32.0,1.25,125,8.5,0.85,8.5,0.8,0,0,62.0,3.75,2.125,0.625
amumu,Amumu,the Sad Mummy,"Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe a living cadaver, small in stature and wrapped in creeping bandages. Amumu has inspired myths, songs, and folklore told and retold for generations—such that it is impossible to separate truth from fiction.","Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe...",32,"Amumu is highly dependent on teammates, so try laning with your friends for maximum effectiveness._Cooldown Reduction on Amumu is very strong, but it's often difficult to itemize for it. Grab the Golem buff whenever possible to gain Cooldown Reduction without sacrificing stats._Despair is very effective against other tanks, so make sure you're in range of opponents with the highest Health.","Avoid bunching up with other allies when Amumu has his ultimate available._Erratic movement, or hiding behind creep waves can make it difficult for Amumu to instigate a fight with Bandage Toss._Amumu's Despair makes purchasing primarily Health items a risky proposition.",Mana,Tank_Mage,2,6,3,8,Cursed Touch,"Amumu's basic attacks <font color='#9b0f5f'>Curse</font> his enemies, causing them to take bonus true damage from incoming magic damage.",615.0,75,285.0,40.0,335,30,3.5,32.0,1.25,125,9.0,0.85,7.38,0.53,0,0,53.0,3.8,2.18,0.736
anivia,Anivia,the Cryophoenix,"Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland. Anivia guides and protects the tribes of the harsh north, who revere her as a symbol of hope, and a portent of great change. She fights with every ounce of her being, knowing that through her sacrifice, her memory will endure, and she will be reborn into a new tomorrow.","Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...",34,Timing Flash Frost with Frostbite can lead to devastating combinations._Anivia is extremely reliant on Mana for Glacial Storm. Try getting items with Mana or going for a Crest of the Ancient Golem buff on Summoner's Rift._It can be very difficult for enemy champions to kill her egg early in game. Seize the advantage by playing aggressively.,"Try to gank Anivia when she's laning. With multiple people, it is easier to ensure that her egg dies._If you're playing a ranged champion, stay far enough away from Anivia so you can dodge Flash Frost more easily._Try to fight Anivia in the lanes. In the jungle she can block pathways with lower ranks of Crystallize.",Mana,Mage_Support,1,4,10,10,Rebirth,"Upon taking fatal damage, Anivia reverts to an egg and is reborn with full health.",480.0,82,495.0,45.0,325,21,4.0,30.0,0.5,600,5.5,0.55,8.0,0.8,0,0,51.0,3.2,1.68,0.625
annie,Annie,the Dark Child,"Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable, emotional outbursts, though she eventually learned to control these “playful tricks.” Her favorite includes the summoning of her beloved teddy bear, Tibbers, as a fiery protector. Lost in the perpetual innocence of childhood, Annie wanders the dark forests, always looking for someone to play with.","Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...",1,"Storing a stun for use with her ultimate can turn the tide of a team fight._Striking killing blows on minions with Disintegrate enables Annie to farm extremely well early in the game._Molten Shield is a good spell to cast to work up to Annie's stun, so sometimes it's beneficial to grab at least 1 rank in it early.","Annie's summoned bear, Tibbers, burns opposing units around himself. Try to keep your distance from him after he's been summoned._Summoner Smite can be used to help take down Tibbers._Keep an eye out for a white, swirling power around Annie. It means she's ready to unleash her stun.",Mana,Mage,2,3,6,10,Pyromania,"After casting 4 spells, Annie's next offensive spell will stun the target.",524.0,88,418.0,25.0,335,19,4.0,30.0,0.5,625,5.5,0.55,8.0,0.8,0,0,50.0,2.63,1.36,0.579
aphelios,Aphelios,the Weapon of the Faithful,"Emerging from moonlight's shadow with weapons drawn, Aphelios kills the enemies of his faith in brooding silence—speaking only through the certainty of his aim, and the firing of each gun. Though fueled by a poison that renders him mute, he is guided by his sister Alune. From her distant temple sanctuary, she pushes an arsenal of moonstone weapons into his hands. For as long as the moon shines overhead, Aphelios will never be alone.","Emerging from moonlight's shadow with weapons drawn, Aphelios kills the enemies of his faith in brooding silence—speaking only through the certainty of his aim, and the firing of each gun. Though fueled by a poison that renders him mute, he is guided by...",523,"Each of Aphelios' weapons have different strengths, so try to find the right situation for your current weapons. ","Each of Aphelios' weapons have different weaknesses, try to exploit the ones that work best for your champion. Watch out for the purple Gravity gun, it can root you.",Mana,Marksman,6,2,10,1,The Hitman and the Seer,"Aphelios wields 5 Lunari Weapons made by his sister Alune. He has access to two at a time: one main-hand and one off-hand. Each weapon has a unique Basic Attack and Ability. Attacks and abilities consume a weapon's ammo. When out of ammo, Aphelios discards the weapon and Alune summons the next of the 5. ",530.0,88,348.0,42.0,325,28,3.0,30.0,0.5,550,3.25,0.55,6.5,0.4,0,0,55.0,3.0,2.1,0.64
ashe,Ashe,the Frost Archer,"Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice. With her people's belief that she is the mythological hero Avarosa reincarnated, Ashe hopes to unify the Freljord once more by retaking their ancient, tribal lands.","Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...",22,"Try to fire Enchanted Crystal Arrow in the same direction enemies are moving, so it is more likely to hit._Volley arrows are blocked by the first enemy they hit, so keep your distance to avoid having them all absorbed by enemy frontliners._Hawkshot reveals units in brush. If a team fight is occuring in the jungle it can give you a significant advantage.","Ashe has very few defensive options, and she's a good target to gank._Be wary of moving around the map alone if Ashe has not recently cast her Enchanted Crystal Arrow.",Mana,Marksman_Support,7,3,4,2,Frost Shot,"Ashe's attacks slow their target, causing her to deal increased damage to these targets.<br><br>Ashe's critical strikes deal no bonus damage but apply an empowered slow to the target.",570.0,87,280.0,32.0,325,26,3.4,30.0,0.5,600,3.5,0.55,6.97,0.4,0,0,59.0,2.96,3.33,0.658
aurelionsol,Aurelion Sol,The Star Forger,"Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his star-forging ways, Aurelion Sol will drag the very stars from the sky, if he must, in order to regain his freedom.","Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...",136,"You can use Comet of Legend's flight to grow Starsurge to massive proportions._Save Voice of Light to use as a defense against melee opponents if you need to - otherwise, use its slow to start a fight at long range._Comet of Legend allows you to move quickly around the map; use it to put pressure on other lanes.","Try to get inside his orbit, since his stars can't hurt you up close._His stars disappear while stunned or silenced, giving you an easy opportunity to fight him._He gains speed while chasing in a straight line, but taking damage makes him lose that momentum._His Starsurge ability can grow to cover a huge area - don't stay in the same place too long!",Mana,Mage,2,3,7,8,Center of the Universe,"Stars orbit Aurelion Sol, dealing magic damage when they hit an enemy.",575.0,92,350.0,50.0,325,19,3.6,30.0,0.5,550,7.0,0.6,6.0,0.8,0,0,57.0,3.2,1.36,0.625
