key,item_name,description,plaintext,from_items,purchasable,gold_base,gold_total,gold_sell,tags,map_11,map_12,map_21,map_22,depth,FlatMovementSpeedMod,FlatHPPoolMod,FlatCritChanceMod,FlatMagicDamageMod,FlatMPPoolMod,FlatArmorMod,FlatSpellBlockMod,FlatPhysicalDamageMod,PercentAttackSpeedMod,PercentLifeStealMod,FlatHPRegenMod,PercentMovementSpeedMod
1001,Boots,<mainText><stats><attention>25</attention> Move Speed</stats></mainText><br>,Slightly increases Movement Speed,,True,300,300,210,Boots,True,True,True,False,,25.0,,,,,,,,,,,
1004,Faerie Charm,<mainText><stats><attention>50%</attention> Base Mana Regen</stats></mainText><br>,Slightly increases Mana Regen,,True,250,250,175,ManaRegen,True,True,True,False,,,,,,,,,,,,,
1006,Rejuvenation Bead,<mainText><stats><attention>50%</attention> Base Health Regen</stats></mainText><br>,Slightly increases Health Regen,,True,150,150,105,HealthRegen,True,True,True,False,,,,,,,,,,,,,
1011,Giant's Belt,<mainText><stats><attention>350</attention> Health</stats></mainText><br>,Greatly increases Health,1028,True,500,900,630,Health,True,True,True,False,2.0,,350.0,,,,,,,,,,
1018,Cloak of Agility,<mainText><stats><attention>15%</attention> Critical Strike Chance</stats></mainText><br>,Increases critical strike chance,,True,600,600,420,CriticalStrike,True,True,True,False,,,,0.15,,,,,,,,,
1026,Blasting Wand,<mainText><stats><attention>40</attention> Ability Power</stats></mainText><br>,Moderately increases Ability Power,,True,850,850,595,SpellDamage,True,True,True,False,,,,,40.0,,,,,,,,
1027,Sapphire Crystal,<mainText><stats><attention>250</attention> Mana</stats></mainText><br>,Increases Mana,,True,350,350,245,Mana,True,True,True,False,,,,,,250.0,,,,,,,
1028,Ruby Crystal,<mainText><stats><attention>150</attention> Health</stats></mainText><br>,Increases Health,,True,400,400,280,Health,True,True,True,False,,,150.0,,,,,,,,,,
1029,Cloth Armor,<mainText><stats><attention>15</attention> Armor</stats></mainText><br>,Slightly increases Armor,,True,300,300,210,Armor,True,True,True,False,,,,,,,15.0,,,,,,
1031,Chain Vest,<mainText><stats><attention>40</attention> Armor</stats></mainText><br>,Greatly increases Armor,1029,True,500,800,560,Armor,True,True,True,False,2.0,,,,,,40.0,,,,,,
1033,Null-Magic Mantle,<mainText><stats><attention>25</attention> Magic Resist</stats></mainText><br>,Slightly increases Magic Resist,,True,450,450,315,SpellBlock,True,True,True,False,,,,,,,,25.0,,,,,
1035,Emberknife,"<mainText><stats></stats>8% Omnivamp vs. Monsters<br><li><passive>Sear:</passive> Damaging Monsters burns them for <magicDamage>(60 + 30% Ability Power + 5% bonus Attack Damage + 2% bonus Health) magic damage</magicDamage> over 5 seconds.<li><passive>Challenging Path:</passive> Smiting 5 times consumes this item upgrade your Smite to <attention>Challenging Smite</attention> and increases its damage to monsters. Challenging Smite marks champions for 4 seconds. During this time, you deal  <truedamage>48 - 125 (based on level)</truedamage> bonus true damage to them over 2.5 seconds on hit and take 20% reduced damage from them.<li><passive>Huntsman:</passive> Killing Large Monsters grants bonus experience.<li><passive>Recoup:</passive> Regen up to 8 - 18 (based on level) mana per second when in the Jungle or River. <br><br><rules><status>Consuming</status> this item grants all item effects permanently and increases Smite damage to monsters. If you have gained more gold from minions than jungle monsters, gold and experience from minions is heavily reduced. Healing is not reduced on AoE attacks. If two levels behind the average champion level of the game, monster kills grant bonus experience. </rules><br><rules>Only attacks and abilities apply Challenging Smite's burn</rules></mainText><br>",,,True,350,350,140,LifeSteal_SpellVamp_Jungle,True,False,True,False,,,,,,,,,,,,,
1036,Long Sword,<mainText><stats><attention>10</attention> Attack Damage</stats></mainText><br>,Slightly increases Attack Damage,,True,350,350,245,Damage_Lane,True,True,True,False,,,,,,,,,10.0,,,,
